subject,frobenius_quality,self,neighbors,others
sub-110007,0.9460609456626605,0.952513966480447,0.0111731843575419,0.036312849162011177
sub-109123,0.9896955514401041,0.9106145251396648,0.0335195530726257,0.055865921787709494
sub-117021,0.9406206110881749,0.776536312849162,0.19832402234636873,0.025139664804469275
sub-105923,0.9535919999513816,0.8016759776536313,0.1564245810055866,0.04189944134078212
sub-103212,0.9944446197420589,0.946927374301676,0.013966480446927373,0.03910614525139665
sub-111312,0.8742049040808494,0.6675977653631285,0.23743016759776536,0.09497206703910614
sub-118831,0.8622598079750166,0.4972067039106145,0.4134078212290503,0.0893854748603352
sub-115724,0.9172701556350474,0.7094972067039106,0.2206703910614525,0.06983240223463687
sub-101915,1.0000619011649863,0.9608938547486033,0.00558659217877095,0.0335195530726257
sub-107018,0.9340712477472441,0.8854748603351955,0.0782122905027933,0.036312849162011177
sub-103010,0.9965120841568313,0.9134078212290503,0.019553072625698324,0.0670391061452514
sub-102109,0.9969801736948254,0.9441340782122905,0.027932960893854747,0.027932960893854747
sub-106016,0.9994019881980858,0.8854748603351955,0.027932960893854747,0.08659217877094973
sub-101006,0.9570122495041898,0.7821229050279329,0.13966480446927373,0.0782122905027933
sub-106824,0.9379869605675717,0.7346368715083799,0.22346368715083798,0.04189944134078212
sub-114116,0.8535369399058783,0.6424581005586593,0.2346368715083799,0.12290502793296089
sub-120111,0.9825706933612863,0.9134078212290503,0.027932960893854747,0.05865921787709497
sub-109830,0.9125693163136609,0.7541899441340782,0.13966480446927373,0.10614525139664804
sub-102614,0.9736425081488803,0.835195530726257,0.11731843575418995,0.04748603351955307
sub-111009,0.918585740991693,0.8240223463687151,0.1005586592178771,0.07541899441340782
sub-118124,0.8545844868566086,0.7458100558659218,0.1787709497206704,0.07541899441340782
sub-108525,0.9115016593874189,0.6843575418994413,0.21508379888268156,0.1005586592178771
sub-107321,0.9711637243433523,0.8966480446927374,0.04748603351955307,0.055865921787709494
sub-100307,0.9288680320300743,0.835195530726257,0.09497206703910614,0.06983240223463687
sub-105216,0.790844864888975,0.7458100558659218,0.20670391061452514,0.04748603351955307
sub-117122,0.9139561859212583,0.7318435754189944,0.20949720670391062,0.05865921787709497
sub-113316,0.7806241669955106,0.44972067039106145,0.4273743016759777,0.12290502793296089
sub-105014,0.9988559648260339,0.9357541899441341,0.008379888268156424,0.055865921787709494
sub-118932,0.9805243261209127,0.8994413407821229,0.036312849162011177,0.06424581005586592
sub-111413,0.7107831914669508,0.4441340782122905,0.42178770949720673,0.1340782122905028
sub-111211,0.9348459897864756,0.8324022346368715,0.09497206703910614,0.07262569832402235
sub-103515,0.8444554443864672,0.6145251396648045,0.24860335195530725,0.13687150837988826
sub-115219,0.7440972673637477,0.2122905027932961,0.6703910614525139,0.11731843575418995
sub-105620,0.9977753589689827,0.9078212290502793,0.019553072625698324,0.07262569832402235
sub-116726,0.8982740585046244,0.6452513966480447,0.3016759776536313,0.05307262569832402
sub-118225,0.8431006189603023,0.39664804469273746,0.4888268156424581,0.11452513966480447
sub-108222,0.8349439470154927,0.5195530726256983,0.39664804469273746,0.08379888268156424
